"id","comment","group","active"
"205","Hey the trail is amazing, could you give some info?","6","1"
"206","Your stories are truely travel goals, how do you plan them?","6","1"
"207","Hey what time of the year is best to visit this place?","6","1"
"208","The photos are just so cool, what camera do you use?","6","1"
"209","Awespme trail! could you give some suggestions on trekking paces around (place name)","6","1"
"210","I just loved the trail, do you have any suggestions on what camera is best for backpacking?","6","1"
"211","I am so trying this out soon, do you have any suggestions or tips?","6","1"
"212","I too am a backpacker like you, do you have any insights on cheap travel?","6","1"
"213","i love your trail, do you think this time of the year is apt to visit this place?","6","1"
"214","Hey I am learning photography, and your trail has amazing pictures, do you have any suggestions to improve photography skills/","6","1"
"215","Wow! Thats amazing that you covered so much in so less budget!","6","1"
"216","Hey awesome experience, do you have any tips on camping in that area?","6","1"
"217","Awesome! I too am heading there next week","6","1"
"218","Hey! I loved your images but I didn't understand exactly how you felt going there. Some additional information would be great :D ","7","1"
"219","Looks like you've travelled a lot. I am also planning a trip for myself now, When would be the best time to visit according to you??","7","1"
"220","This trail looks really nice, but I wish there could be more information about it!","7","1"
"221","The images are so cool! I wish there could be nice information about the place as well!","7","1"
"222","I have been to this place and I can totally relate to the pictures, but I'd definitely put more details with it :)","7","1"
"223","I myself have been to this place and your pictures brought back such good memories! How brilliant!","7","1"
"224","Hey, your pictures are so good! I wonder how to take the alternate route though. ","7","1"
"225","The pictures are so vivid it almost makes me want to visit there myself, but there's no details to it! wish to see some the next time!","7","1"
"226","The second picture just took my mind off my textbooks, wish I could read about your experience here","7","1"
"227","The timings in your pictures are perfect, but I wish I could know a little more about the place!","7","1"
"228","This is one of most creative trails in terms of images, wish I could read something about the place too! ","7","1"
"229","Your pictures truely inspire me to travel to this place, but your content is too less to say how :(","7","1"
"230","Picture on point! It'd be amazing to get more information on the routes that you followed!","7","1"
"231","Your pictures reminded me of my childhood trip to this exact place, I wish there was more information...just to relive those days!","7","1"
"232","Wow! The pictures came so clear, the place must be amazing! what about the loopholes of the place though?","7","1"
"233","The title is so amazing, but the trail didn't look very promising :( ","8","1"
"234","The title is superbly framed, wish the content could be a little more elaborate!","8","1"
"235","Hey, the title totally caught my attention,the image quality could be a little better though!","8","1"
"236","This is one of the catchiest title I've come across, wish there was more information to read!","8","1"
"237","The title drew my attention at once, wish the information could be a little more detailed!","8","1"
"238","Wow! that's such a cool title! but the images were so blurry!","8","1"
"239","I came across this trail in such a hurry, and it was all cause the catchy title! ","8","1"
"240","The title was superb! The content was a little dreary!","8","1"
"241","The title took me further to your Trell, but I lost interest midway because there was no content.","8","1"
"242","The title took me by surprise, but I kind of lost track of the routes in the content!","8","1"
"243","The title was so quirky it truely encouraged me to go through your Trail in details! great!","8","1"
"244","The title was so rad! cool stuff really!","8","1"
"245","Hey, the title is so innovative!","8","1"
"246","I love the wordplay in your title!","8","1"
"247","Your title is my new catchphrase!","8","1"
"248","The trail looks so amazing, just wish it would be a little more innovative!","9","1"
"249","This trail enticed me enough to go through it bit by bit, wish you good luck with the other ones too!","9","1"
"250","The pictures are so amazing, even the content! But the title could be a little more relevant you know :)","9","1"
"251","The pictures are crystal clear, wish they could relate better to the content!","9","1"
"252","Any traveller would be enthused to set out on a journey after going through your trail, so it'd be great if you could provide more details about the routes!","9","1"
"253","I have been to this place, and your pictures couldn't have done more justice to it!","9","1"
"254","You look like a true traveller from your pictures, it is so refreshing!","9","1"
"255","The pictures look as real as the place itself! That itself is so amazing!","9","1"
"256","The content of the trail is so interesting! This is perfect to enthused a traveller!","9","1"
"257","I've always been wanting to visit this place, but sadly due to lack of holidays, I was missing out on all the fun! This trail means so much to me!","9","1"
"258","I've patiently gone through each and every picture, and all of them are praiseworthy!","9","1"
"259","The pictures are just like that of the travel bloggers that I come across! Amazing for a beginner I would say!","9","1"
"260","Every single line of every single post took me to the next one! so interesting!","9","1"
"261","I just decided to utilize my money fixed in an account for this route, yes your trail inspired me that much!","9","1"
"262","Your Trail could go from average to wow just by the use of some good quality images, the content is so informative!","9","1"
"263","The content is brilliant really, wish I could say the same for the pictures and the videos!","9","1"
"264","The images are so good, I coaxed my sister into going through the trail!","9","1"
"265","The content is inspiring beyond words, but wish the images could be a less blurry!","9","1"
"266","I really hope to see better images in your trails, your content has so much potential!","9","1"
"267","This Trail has such a good topic, a few more good videos and images and it could be a beautiful travelogue!","9","1"
"268","The images are absolutely surrealistic! I do wish the content would be as crisp!","9","1"
